,0
33,NNP NNP NNP VBZ VBD PRP VBD NN IN JJ NNS IN NNP CC IN DT NN RB MD VB JJ NNS VBG IN NN .
34,"NNP MD VB VBN TO VB DT NN CC NN IN DT NNS , DT NNP NNP NNP NNP NNP NNP NNP , JJ NN NN IN DT NN IN NNS IN DT NNP NNP , RB VBG NNS IN NNP ."
35,NNP NNP NNP NN VBD IN NNP NNP NNP NN NN .
36,"NNP NNP NNP CD NNP IN NNP NNS NNP NNP NN IN NNP DT NN IN DT JJ NN , DT JJ NN IN NNP NNS VBD IN NNP ."
37,DT NN VBD VBD JJ NNS VBD VBN IN NNP CD : JJ NN NNS CC NN NNS .
38,DT NNS VBP DT NN NN NN IN NN NNS CC DT NNS NN NN IN NNS IN NNP CD .
39,NNP NN VBD CD NN IN DT NN .
40,"DT NN VBD RB JJ TO DT VBN NN IN NNS VBG JJ NNS RB , IN NNS VBD IN JJ NN VBD JJ , DT JJ NN VBD ."
41,RB DT JJ NN NNS VBD NNS IN NN NNS IN DT NN .
42,"NNP NNP VBD NNP NN , RB JJR IN DT NN IN DT NN ."
43,"VBP NN VBD IN JJ NNS VBD IN JJ NN IN NNP NNP , JJ NN IN DT JJ NN ."
44,"JJ VBD NNP IN NNP NN , CC CD NN ."
45,JJ NN CC NN VBD JJ NN IN NNP CD VBN TO JJ NN POS NNP .
46,NN VBD VBD VBP VBN IN NN NN IN NNP DT NN JJR .
47,NNP POS NN VBD TO VB IN NN .
48,RB VBP NN VBP JJ NN TO VB IN NNS .
49,"RB VBP DT NNP NN NN POS NN NNS VBD DT JJ NN TO NNP NNP NNP NN TO CD CD NNS , PRP$ JJ NN NN NN VBD NNS ."
50,"NNP NNP NNP NN VBZ VBG TO VB DT NN NN IN DT NN NN JJ IN NNP , VBD NN ."
51,": NNP NN , NN NN VBD NN NN NN NNS JJ CD CD CD NN ."
52,NNP VBD DT VBG NN VBD VBN IN NN NN NNP NNP .
53,NNP NNP RB VBD JJ CD NN NN NN NN NN NNP JJ CD NN NNP NNP NN NN JJ NNS NN NN NN NN NN NN NNP NNP NNP NNP NN NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP PRP NNP NN NN NNPS NN NN DT NN NN DT NN NN NN NN NN NNP NN NN NN NN NN NNP NNP NNP NNP CD NN NN NN NN NN JJ CD NN NN NN NN NN NNS NNP NN VBZ JJ NN NN : NNP NN NNP NNP NNP NNP NNP NNP VBZ $ CD CD NNP CD CD .
54,NNP VBD DT VBG JJ NN VBD VBN IN NN NN NNP NNP NNP .
55,NNP NNP NNP NNP NNP NNP NNP NNP NNP VBD $ CD NN NN : VBD CD NN NN NNP NNP NN NNP NNP NNP NN NNP JJ NNP NNP NNP NN NNP JJ NNS CD NN JJ NNP NNP NNP NN NNS NN JJ JJ NN NNP NNP NNP NNP NNP NNP NNP NNP NNP PRP NNP NNP NNP NN NN NN NN NN NN CD VBD DT NN NN NN CD CD NN NNPS NN NN NN NN NN NNP NN NN NN CD NN NN NN CD NN NN NN NNS NNS IN NN NN : NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP : CD NN .
56,"NN NNS IN NNP NN NN NN : NN , VBD CD : JJ NN IN NN CC NNP NN CD NNS ."
57,CD CD VBZ IN NNS IN NNP IN NN .
58,NNP NNP NNP NNP NNP POS NN NN NN IN NNP VBD IN NNP JJ NN IN DT CD NNS VBD TO VB DT NN IN DT NN .
59,"NNP NNP , WP IN NNP POS NN TO NNP VBG NN NNS IN NN , VBD NNP NNP PRP VBD IN CD VBD TO CD RB IN NN ."
60,VBP PRP VBZ TO VB DT NN NN VBZ RB TO VB .
61,"DT NN VBP VBN , PRP VBP RB JJ , CC DT JJ NN RB IN NNP VBZ IN DT VBZ RB DT NN IN DT NN , NN PRP VBD ."
62,NN VBZ RB RP PRP$ NN IN NNS .
63,"PRP MD VB VBN IN NNP NN , DT JJ NN NN TO NNP CC NNP NNP NN NN ."
64,"NNP IN NNP VBD VBD DT NN , IN NNP , VBG PRP VBD VBN TO NN CC VBD TO JJ NNS IN NN ."
65,CC PRP VBP NN IN NN WP PRP VBD DT NN NN .
66,RB VBD NNP IN NNP IN NNP DT NN NN IN PRP IN NNP NN VBD IN NN VBD RB NN VBD DT NN .
67,PRP VBD PRP$ NNS NNS VBD IN JJ NN .
68,"VBP DT NN IN PRP VBD TO VB NN NN NNP NN NN NN VBZ IN NN VBZ JJ IN DT NN IN NN TO NNS NN NNS , NNP NNP NNP NNP NNP CD VBD NNP NNP IN DT NN ."
69,NN VBZ NN IN NN JJ NN NN NN VBD NN IN NNP NNP TO CD DT NNP NNP NNP VBD IN NNP IN DT IN NN NNP NNP .
70,NN NN NNS VBP VBN NN IN DT NN IN CD IN DT JJ NN POS NN TO VB NN NN .
71,NN NNS IN DT CD NNS VBD JJ VBN IN NNP .
72,"VBP DT NNS VBG IN IN NN VBP JJ , RB JJ ."
73,"DT NNP : VBP JJ IN NN CC NN IN MD VB VB : DT NN NN VBZ RB NN IN DT WP VBP PRP MD VB PRP$ NNS , NNP NN VBD ."
74,"VBP PRP VBP IN NN , IN PRP$ NN VBZ TO NN , IN PRP MD VB NNP POS NN TO VB NN NNS IN DT VBZ PRP$ NN , VBP PRP VBD ."
75,"VBD PRP VBP RB VB DT NN , RB NN ."
76,DT NN NNS IN NN .
77,NNP NNP POS NNP CD NN VBD NN VBD VBN DT NN NN NN NN TO CD .
78,PRP VBD DT NN IN DT NN .
79,NNP CC NNP POS NN VBD PRP MD RB VB PRP .
80,"DT NN RB VBD IN NN VBD VBN NN TO VB NN IN NN , DT NNP NNP CC NNP ."
81,VBP RB NNP NNP NNP NN IN NN .
82,RB VBD DT JJ NN IN NNP VBD DT JJ NN NN DT NN IN NN VBD CD NN VBD TO CD NNS NN VBG TO CD NN IN CD IN DT NNP NNP NN .
83,VBP DT VBZ RB JJ .
84,"IN TO NN , PRP VBP DT NN IN DT NN NN CC VBD IN NN IN PRP$ MD , CC PRP VBP RB VBN DT NN , NN DT NNP NNP POS NN NN IN NNP , NNP NN , VBD NNP IN NN ."
85,"NNP POS NNP NNP VBD DT NN PRP MD VB DT NN TO NN TO NNS , CC NNP VBD DT NN VBD VBN IN DT NN JJ IN PRP$ NN NNS JJ IN NN IN PRP$ NNS ."
86,PRP VBD IN EX VBP DT VBN VBN JJ NN NN IN NN .
87,VBP CD NN NN NNS VBP IN NN .
88,NNP NNP NNP VBP DT NN NN NN VBN IN NNP NNP IN NNP TO VB NN TO CD POS NN IN IN PRP VBD VBN IN NNP NNS NNP CD CD JJ NN .
89,DT NN NN NN VBD PRP$ NN NN NN VBD IN NN DT NN IN DT NNP JJ NN IN NNP NNP NNP NN NN NN IN NNP CC VBD PRP$ NN TO NN POS NN NN .
90,"RB RB VBP IN DT NN NN MD VB TO VB NN IN NN IN PRP$ NN NN CC DT NN NN IN NNP NN , VBD PRP VBD ."
91,DT NN IN DT NN VBD DT NN NN VBZ DT JJ NN IN NN IN NNP NN CC DT NN NN NN NN .
92,NN RB NN NNS IN JJ NN IN NNP IN NN IN CD NNS VBD IN NNP NN NNS IN DT NN IN DT NN IN NNP .
93,RB NN NNS NN NN VBP IN DT NN IN NNS IN DT NNP NNP NNP NN IN NNP NNP NNP NNP NN .
94,"NNP CC NN POS NN JJ NNP NNP NNP VBD DT CD JJ NN NN NN , VBP VBD JJ NN IN PRP$ NN IN NN NNS VBD VBN IN NN IN DT CD NNP NNP ."
95,NN IN DT CD NNS VBD RP IN DT NN IN DT JJS JJ JJ IN DT NN NN JJ NN .
96,NNP NNP VBD NNP NNS VBD RB VBN VBN NN NNS IN NN NN IN NN NN IN DT NN NN IN DT JJ CD NNS .
97,PRP VBD IN CD CD NN VBD CD CC NN IN DT NN .
98,DT NNP CC NNP NNP NNP CC RB NN IN NNS IN JJ NN IN NN IN PRP$ JJ NN NNS .
99,DT NN NNP NN IN NNP NNP NNP NNP NNP IN JJ NNS IN CD NNS .
100,NNP RB VBP NNS NNS IN JJ NN NN .
101,"RB VBP DT NN VBD VBP IN DT NN CC VBD NN NN NNS VBD VBN JJ DT NN IN JJ NN NN , NNS IN DT NNP VBD ."
102,VBD EX VBD DT NNS IN NNP VBP NNS .
103,"DT NN VBD RB JJ IN IN NN NNS , NNP CD NN VBD ."
104,DT NN NN VBD VBN IN CD NN NN TO DT NN .
105,"JJ NN NNS VBD IN NN , NNP NN , CD NNS VBD NN , VBD NN CC CD NNS VBD NN , NNP NN ."
106,"JJ NNS VBD IN CD , NNP NN ."
107,NNP NNP NNP NNP POS NN TO NNP NN .
108,"NNP NNP NNP VBD NNP NNP NNP NNP NNP IN NNP TO NNS IN PRP$ NN TO DT NNP NN , VBG DT JJ NN NN , DT NNP NN VBD ."
109,VBP DT NN VBZ IN .
110,"DT NN POS NN VBZ VBN NN TO VB IN NN NN CC DT NN VBZ RB VBN TO VB TO DT NNP NNP IN NNP , NNP NNP NNP NNP NNP NNP ."
111,NNP VBD VBN VBN TO VB JJ NN JJ NN NN NN IN DT NNP NNP NNP IN NNP IN NNP CC DT NN VBD VBN TO VB IN NNP VBD VBD NN TO DT NNP NN POS NN .
112,JJ NNS VBD NNP NNP NNP NNP NN IN VBG TO VB DT NN NN IN NNP NNP NNP .
113,"NNP NNP VBD DT NN IN NNP CC NNP NNS , IN NNP NNS , IN DT NNP NN NNS IN NNP CC DT NNP NN ."
114,"NNP NNP VBD NNP VBD VBN IN NN TO DT NNP NNP IN NNP , IN NNP VBD DT NN , IN PRP VBD DT NN NN IN NN CC MD RB VB JJ IN NNP ."
115,NNP NNP TO VB NN IN NN IN CD NN .
116,NNP NNP NNP NNP MD VB VB NN IN NN IN NNP IN NN VBD DT NNP NNP NN VBD VBN DT JJ NN IN CD TO DT JJ NN IN NNS IN DT JJ JJ NN .
117,"VBP DT NN IN NNP CC NNP MD VB NN IN CD NN IN NN CC RB IN NN IN JJ , NN NN POS NN VBD ."
118,NNP NNS VBD DT NNP NN VBD VBN NNP IN CD NN IN DT JJ NN TO DT NNP NN IN DT NN TO VB DT NN IN NN .
119,"VBP JJ NNP NN NN VBZ VBN JJ NN NNP , WP PRP VBD IN CD NNS , IN VBG TO VB PRP$ NN NN POS NN TO VB NN NNS ."
120,NNP NNP NNP NNP VBZ NN NNS VBG NN .
121,"NNP NNP NNP NN CD NN NNS VBD TO DT NNP NNP NN JJ NN IN NNP NNP WP VBD IN DT NNP NN MD NN TO CD IN DT JJ NNS , DT NNP NNP IN NNP NNP VBD IN NNP ."
122,VBD PRP$ NN VBZ IN NN IN DT NNP JJ NNP .
123,"PRP$ NN TO NN MD VB NN IN CD CC CD NNS , VBD DT NNP NN VBD ."
124,VBP DT NNP VBZ VBG PRP NN NNS IN PRP$ NN TO PRP$ NN .
125,"EX VBZ DT NN TO PRP$ NN , NN PRP VBD ."
126,DT CD NN NN NNS VBD VBN IN CD NN NN WP VBD TO VB NN NNP JJ NNP IN NNP PRP$ JJ NN IN DT NN IN DT NN IN NN NN IN NN IN NNP NNP .
127,"DT NN VBD IN NNP PRP MD VB IN DT CD TO DT NNP NNP NNP , IN JJ NNP ."
128,PRP VBZ IN VBN NN IN DT NN .
129,"WRB VBD IN DT CD NNS MD VB RB TO VB CC DT NN NN NN , DT NNP NNP VBD : VBD IN VBZ RB VBN VBN , CC RB NNP ."
130,NNP NN VBZ DT NN IN DT NN NN NN .
131,"NNP VBZ JJ IN NNP NNP NNP POS NN , WDT NN VBZ JJ TO NN ."
132,"DT NNP NNP VBD DT CD NNS , VBD TO VB IN PRP$ CD , VBD RB IN CD NN ."
133,PRP VBD RB VB .
134,"DT NN , VBG IN DT NN NN IN DT NN NN IN NN , VBD VBN NN IN DT NN NN NN VBD PRP$ NN NN TO VB IN NNP CD ."
135,NNP VBD PRP$ NN IN NN IN NN VBD NN IN NNP JJ NN IN NNP POS NN .
136,NNP VBD DT NNP POS NN VBD JJ .
137,JJ NN NNS TO VB DT CD NNPS .
138,"DT NN , WP VBD PRP VBP DT NNS : CD VBN IN CD JJ NNS : IN JJ JJ NN NN IN PRP$ NN JJ NN VBZ JJ NNP , VBD DT NNP NN NN NN IN NN IN NN ."
139,NNP NNP POS NN NN NN POS NN .
140,"NNP NNP NNP NN NNP NN VBZ VBN NN NN NNP NNP VBD IN CD VBD TO CD CD NN CC NNP NNP IN NNP , NNP NNP NNP VBD IN NNP ."
141,"NNP NNP NNP NN VBD IN DT NN NNP POS NN TO CD NN CC NN IN NNP , VBD DT NNS VBD ."
142,PRP VBD NNP VBD NN IN PRP VBD VBD IN NNP IN PRP$ IN JJ NN CC DT NN NN NN NN NN NN VBP NNS IN DT JJ NN IN DT NN NN NNS IN NN IN PRP$ CD NN IN NN .
143,NNP VBD IN NNP PRP MD VB DT JJ NN TO VB VB CD NN NNS IN NN CC NN NNP IN JJ NN IN JJ NNS IN NN .
144,"VBD PRP$ NN VBZ NN , RB PRP VBP NNS IN NN DT NN NN NN TO VB DT JJ NN IN NN CC CD NN NNS IN NNP CC NN , NN PRP VBD NNS ."
145,NN VBD NN RB IN CD .
146,"JJ NNP PRP VBD VBN TO VB DT NN VBN IN NN POS NN , WDT VBP VBP POS NN IN CD JJR NNS ."
147,NNP NNP NNP NNP NN : NN CD .
148,RB VBP DT VBP DT IN DT VBG NNP IN DT NN NN NN IN NNP .
149,NNP VBZ RB VB DT NNP CC VBZ RB VB IN PRP$ NN .
150,NNP : NNP POS NN NN NNP VBD IN NN IN DT NN IN JJ NNP NNP NNP .
151,: NNP NNP NNP VBZ NNP MD VB NN IN DT NN NN NNP IN MD VB VBN IN NNP .
152,NNP : DT NN IN CD NN IN NNP NN IN NN NN NN IN DT NN .
153,NNP NN NN NNP NNP : NN NNS .
154,RB VBP DT VBP DT VBG NNP IN DT NN NN IN NNP .
155,NNP VBZ RB VB DT NNP CC VBZ RB VB IN PRP$ NN .
156,NNP : NN VBZ NN IN NN CC DT NN .
157,: JJ NNP NNP : NN NNS VBP DT NNS NN .
158,NNP NNP NNP NNP NNP : NN VBZ NN IN NN IN NN CC NNP .
159,: NNP NN IN NN NN DT CD JJ NN VBP VBN VBN .
160,NNP : VBD NNP IN NN NNP NNP : WDT VBD IN DT NN NNP NNS JJ NN .
161,NNP : JJ NNS IN NNP CC NNP .
162,RB VBP TO NN IN DT NN NN IN DT JJ NN .
163,NNP NNP : NNP NN NN VBD NN IN DT NNS IN NN POS NNS .
164,VBP NN NNS CC NN NNS NNS VBP NNS .
165,"NNP VBD JJ NNS IN NN NNS CC NN NNS NNS VBD IN CD NN JJR TO VB JJR , NN NNS VBD ."
166,DT VBD JJ NN TO NN NNS CC NN NNS MD VB JJ NN .
167,"NN IN DT NN NN NN VBZ RB VBN TO VB NN CC VB DT NN NN , NNS VBD ."
168,"RB , NN MD JJ VB JJ CC NNS MD VB IN NN RP RB IN DT NN ."
169,"NN NNS VBP RB VBN TO VB JJ IN DT NN NN IN CD NNS VBN DT NN , PRP VBD ."
170,NNP NNP VBZ NN CD TO VB CD NNS .
171,"NNP , NN ."
172,RB VBD NNP NNP NNP VBD IN NNP IN DT NN NN MD VB DT JJ NN IN $ CD CD IN PRP$ JJ CD JJ NN .
173,"DT NN VBD IN IN DT NN , WDT VBD NNP CD , PRP VBD $ CD CD NN NN IN PRP$ JJ NN NN JJ NNS JJ NN ."
174,DT NNS VBD VBN IN $ CD CD .
175,"NNP NNP , NN JJ NN IN DT NNP CC NN NNP NN , VBD DT NN NN VBD DT NN TO VB DT NN POS NN JJ NN NNS CC VB JJ NN NNS CC NNS ."
176,NNP NNP NNP NNP NNP NNP NNP NNP .
177,": NNP NN NNP NNP VBD NNP NNP NNP NNP NNP IN DT NN NN , PRP$ NN VBD ."
178,": DT NN VBD DT JJ NN NN IN $ CD CC DT JJ CD NN NNS NN IN $ CD IN NN , PRP$ NN VBD ."
179,": DT NN RB VBD DT NNS NN IN DT CD NN , CC DT NN VBD RB RB JJ ."
180,: NNP NNP NNP VBD IN CD NNP .
181,": NNP NNP , NNP NNP NNP , NNP NNP NNP NNS NNP NNP NN NN ."
182,"NNP NNP NN IN NNP JJ NNS VBD IN NNS , IN IN NN NNS VBP CD NNS VBD NN VBD NNP CD , NNP CD , NNP CD , NNP CD , CD CD CD CD NN NN NNPS : JJ NNP $ CD $ NN $ NN $ CD NN NN NN NN NN NN NNS NN CD CD CD CD NN NN NNP NN NN VBD JJ NN NNP NN CD CD NNS IN NN NNP NNP NNP NNP NNP CD , CD CD CD , CD CD JJ NNS : VBG NN $ CD NN $ CD CD NN CC NN NN VBD VBG JJ NNS NN NN NNS POS NN NN NN NN NNP NNP NN NN CD NN JJ NN IN NNP ."
183,"RB VBP DT NNP NN NN POS NN NNS VBD NNP NNP NN VBD PRP$ NN IN PRP VBZ TO CD CD NNS , PRP$ JJ NN NN NN VBD NNS IN NNP ."
184,"NNP NNP NNP NN MD VB DT NN NN IN DT NN NN JJ IN NNP , VBD NN ."
185,": NNP NN , NN NN VBP NNP NNP NN NN NNP NNP : CD CD NN CD ."
186,"VBZ VBP DT VBP VBG NNP IN NNP POS NN NN CD NN , CD CD CD ."
187,NN NNP : VBD VBG TO JJ CC JJ NN CC CD NNS VBP JJ NNP NN NN POS NNS VBP VBN IN NNP NNP NNP CD NN IN NNP NNP CC NNP NNP NNP NNP NNP .
188,: NNP NN NN NN NN NN IN NN IN JJ NN POS NNS .
189,"NN NNS : NN IN NN POS JJ NNS NNS RB VBP NN NN , IN JJ NNS NNS IN NNP NN NN CC VBD TO VB NN IN NNS ."
190,: NNP JJ IN DT NNP NN NNP IN NNP VBD PDT DT NN VBP IN NN IN JJ NN IN DT JJ JJ NNS .
191,: NNP NN NN CD CD CD CD NN NN RB NN TO NNP NNP NN NN : NN .
192,"RB VBP CD NN NN NN VBD IN DT NN NN IN NN MD VB NN IN DT JJ NN , RB NNP VBP NN NN IN NNP NN NN VBD IN NNP ."
193,"DT NN RB VBP VBN IN DT NN IN CD NNS IN NN NNP NNP NN IN NN NN TO RB CD NN , VBG TO DT NN POS NN NNS NN ."
194,"DT NNP MD VB VB CC NN MD VB VB IN DT NN IN CD IN DT JJ TO VB NN NNS IN DT NN , PRP VBD ."
195,: NN NN NN CD NNS CD NNS NN JJ NNP NNP NNP NNP NNP NNP : NN .
196,"NNP NNP NNP POS NNP NN VBD TO CD CD NN IN NNP IN CD CD IN NNP , DT NNP NNP NNP NNP NNP NN VBD IN DT NN IN NNP ."
197,"DT NN IN NNS VBD CD NN NN IN NNP CC DT NN IN NNS VBD CD NN , NNP VBD ."
198,NN RB CD CD NN NN : NNP POS NN NNP POS NN NN POS NN NN POS NN NNS NN NN NN NN NNS NN NN NN NN NN NNP NNP NNP VBD DT NN CD NN NN VBD NN IN CD CD CD CC DT NN NN IN CD CD NN .
199,DT NN IN NNP JJR VBN DT NNP NNP NN IN CD CD NN IN NNS NN IN CD CD CC NNS IN CD CD .
200,DT NN POS NN JJ NN NNS VBP VBG IN JJ TO NNS IN CD NNS WRB NNP VBD DT NNP NN IN DT NN IN CD .
201,: NN NN NN NN -NONE- : NN NN VBZ NNP NNP NNP VBZ NNP NN NN TO CD .
202,RB VBD DT NN NNP VBD DT NN IN CD NNS IN DT JJ NN POS JJ NNP NNP NN JJ NNP NN TO NN IN NN .
203,VBP NNS VBD IN NNP CC VBP VBG VBN JJ IN NNP NN TO VB NN IN JJ NN .
204,DT NNP VBD VBN CD CD -NONE- IN NNS IN DT JJ NN IN DT NN IN NN IN NNP .
205,: NNP NN VBP CD NN NN NN NNP NNP NNP VBZ NNS TO VB JJ NN .
206,NNP NNP NNP POS NNP NNP VBD IN NNP WDT -NONE- VBP NN NN IN JJ VBD IN NNS NN IN NN NN NNS MD VB NN TO DT NN .
207,"NN IN DT VBZ VBN RP IN DT NNP NNP POS JJ NNP : CC PRP VBP VBN DT TO VB VBN IN RB IN JJ : NN NNS NN JJ IN IN DT JJ VBP NN TO NN IN JJ NNS , NNP NNP NNP NNP NNP VBD NNP NN ."
208,"VBP PRP VBP RB VB TO VB IN EX VBZ DT JJ NN IN NNS , NNP PRP VBD ."
209,"NNP EX VBP RB JJ NN IN WP PRP VBP , CC DT MD VB VBN RB RB ."
210,"NNP NNP VBZ VBN NNS TO CD NN NN VBP DT NN IN NN IN CD IN DT CD NN NN , WDT VBP IN NNP WRB NNP VBP NNS MD VB DT JJ NN IN NN NN NN ."
211,DT NNP NNP VBD DT NN TO VB DT NN TO VB DT NN IN JJ NNP NN IN DT NN NN NNS NNS IN PRP VBD CD .
212,"NNP NNP NNP NNP NN VBD VBN NNS NNP NN , NN CC NN NN IN DT NNP CC NNP NNP NN IN NNS IN NNP CC VBD IN IN NN NNS NN MD VB VB NN NN NN NN NN : NN NN NN ."
213,CC DT NNS IN DT NN POS NN NN NN VBD IN DT NN VBD JJ VBN DT NN NN TO JJ NN .
214,DT NN VBZ VBG VBN RB IN CD CD JJ NNS .
215,"NNP VBP RB VBN JJ TO NN NN , DT JJ NN NN TO NN WDT VBZ VBN TO VB VBN VBG TO NNS IN NNP NN NN NN ."
216,JJ NNS VBP NNP NN VBZ RB NN TO NNS .
217,"NNP VBD NNP VBD NNP VBD IN NNP JJ NN , RB DT IN JJ NNS ."
218,"PRP VBD IN CD NN IN JJ NN , DT JJ NN IN JJ NNS ."
219,"IN DT JJ NN VBD DT JJ NN IN CD NN NN CC PRP$ NN JJ NN , DT NN VBD DT NN NN IN NNS NN NNS ."
220,VBD NNS VBD IN DT NN IN NNP TO DT JJ NN IN DT NN IN NNP VBZ NNP NNS TO VB DT NN .
221,NNP NN NN NNS IN NNP NNP IN NNP .
222,"NNP , NNP NN NNS IN DT $ CD CD NNP NNP NN IN NN IN DT JJ NN NNP IN DT CD NN , NN CD NN NN NN NN NNS NNP NNP NNP NNP : NNP NNP NNP , NNP NN , NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP , NNP NNP CD NNP NNP , NNP NN , NNP NNP , NNP NNP NNP NNP NN , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NN , NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP , NNP NNP NNP NNP VBD , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP CD , NNP NNP NNP NNP NN , NNP NN , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NN , NNP NNP NNP NNP NN , NNP NNP NNP NNP CD CD NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP VBD NNP NNP NNP NNP NN CD NNP NNP NNP NNP NN : NNP NNP NNP NNP NNP NN ."
223,"NNP NNP NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN IN PRP$ NN NN NN NN , JJ NN IN DT JJ NN , IN NNP ."
224,"NN : VBP NN : NN NN NN NN NN , NN NN NN NN NNP NNP NNP NN : CD NNP NNP CD CD NN : NNP NNP NN VBD NN IN NN CC VBD IN DT JJ NN IN DT NNP NNP NN ."
225,NNP RB NN NNP : NNP NNP NNP NN IN NNP NN .
