,0
10,"NNP NNP NNP VBZ NNP NNP IN NNP . NNP NNP DT NNP NN IN NNP NNP DT NNP JJ NN DT NN IN NNP VBD NNP NN NNP TO VB NNP NNP VBG TO VB NN IN NN IN DT JJ JJ NN . VBZ DT VBZ RB JJ . IN TO NN , PRP VBP DT NN IN DT NNP NNP CC NNS IN NNP IN PRP$ MD , CC PRP VBP RB VBN DT NN , VBP DT NNP NNP POS NN NNP IN NNP , NNP NNP , VBD NNP IN NNP . NNP POS NNP NNP VBD DT NN PRP MD VB DT NN TO VB TO CD , CC NNP VBD DT NNP VBD VBN IN DT VBN RB IN PRP$ NN NNS JJ IN NNP IN PRP$ NNS . PRP VBD IN EX VBP DT VBN -NONE- VBZ NNP VBG IN NNP ."
11,"NNP CD NNP NN NNS NNS IN NNP . NNP NNP NNP NNP DT NNP NNP NNP VBD IN NNP NNP IN NNP TO VB NN TO NNP POS VBN NNS IN PRP VBD NNP IN NNP NNP NNP NN NNP JJ NN . DT NNP NNP NN VBD PRP$ NN NNP NNP VBD IN NNP DT NNP IN DT NNP JJ NNP IN NNP NNP NNP NNP NNP NNP IN NNP CC NNP PRP$ NN TO NNP POS NNP NNP . NNP NNP NNP IN DT NNP NNP MD VB TO VB NN IN NN IN PRP$ NNP NNP CC DT NNP NN IN NNP NNP , NNP PRP VBD . DT NN IN DT NN VBD DT NN VBZ VBZ DT JJ NN IN NN IN NNP NNP CC DT NNP NNP NNP NNP . NNP RB NNP NNS IN NNP NNP IN NNP IN NNP IN NNP NNP NNP IN NNP NNP IN IN DT NN IN DT NN IN NNP . NNP NNP NNP NNP NNP VBP IN DT NN IN NNS IN DT NNP NNP NNP NNP IN NNP NNP NNP NNP NNP . NNP CC NNP POS NNP NNP NNP NNP NNP NNP DT CD JJ NNP NNP NNP , VBP VBN NNP NNP IN PRP$ NN IN NNP NNS VBD VBN IN NNP IN DT CD NNP NNP . NNP IN DT CD NNS VBD RP IN DT NNP IN DT JJS JJ NN IN DT NNP VBN JJ NN . NNP NNP VBD NNP NNS VBD RB VBN NNP NNP NNS IN NNP NN IN NNP NNS IN DT NNP NNP IN DT JJ CD NNS . PRP VBD IN CD NNP NNP VBD VBN CC NNP IN DT NN . DT NNP CC NNP NNP NNP CC NNP NNP IN NNS IN NNP NNP IN NNP IN PRP$ JJ NN NNS . DT NNP NN NN IN NNP NNP NNP NNP NNP IN JJ NNS IN NNP NNS ."
12,"NNP NNP NNP VBZ JJ IN JJ NN NN . NNP VBZ DT NN VBZ NNP IN DT NN CC NNP NN NN NNS VBD RB JJ DT NN IN JJ NN NN , NNS IN DT NNP VBD . NNP EX VBD DT NNS IN NNP NN NNS . DT NN VBD RB JJ IN IN NNP NNP , NNP CD NNP VBD . DT NN NN VBD VBN IN NNP NNP NNP TO DT NN . -NONE- NN NNS VBD IN NNP , NNP NN , CD NNS VBD NNP , NNP NN CC CD NNS VBD NNP , NNP NN . JJ NNS VBD IN CD , NNP NN ."
13,"NNP NNP NNP NNP POS NNP TO NNP NNP . NNP NNP NNP NNP NNP NNP NNP NNP NN IN NNP TO RB IN PRP$ NN TO DT NNP NNP , VBG DT JJ NN NN , DT NNP NN VBD . NNP DT NN VBZ IN . DT NN POS NN VBZ VBN NN TO NNP IN NNP NNP CC DT NN VBZ RB VBN TO VB TO DT NNP NN IN NNP , NNP NNP NNP NNP NNP NNP . NNP VBD VBN VBN TO VB JJ NNP NNP NNP NNP NNP IN DT NNP NNP NNP IN NNP IN NNP CC DT NNP VBD VBN TO NNP IN NNP NNP NNP NN TO DT NNP NN POS NNP . NNP NNP VBN NNP NNP NNP NNP NNP IN NNP TO VB DT NNP NN IN NNP NNP NNP . NNP NNP NNP DT NN IN NNP CC NNP NNS , IN NNP NNP , IN DT NNP NNP NNP IN NNP CC DT NNP NNP . NNP NNP VBD NNP VBD VBN IN NNP TO DT NNP NN IN NNP , IN NNP VBD DT NN , IN PRP VBD DT NNP NNP IN NNP CC MD RB VB JJ IN NNP ."
14,"NNP NNP TO VB NNP IN NNP IN NNP NN . NNP NNP NNP NNP MD VB NNP NNP IN NNP IN NNP IN NNP VBD DT NNP NNP NN VBD VBN DT NNP NN IN NNP TO DT NNP NN IN NNS IN DT JJ NNP NNP . NNP DT NN IN NNP CC NNP MD VB NN IN NNP NNP IN NNP CC RB IN NNP IN VBN , NNP NNP POS NNP VBD . NNP NNS VBD DT NNP NN VBD VBN NNP IN NNP NNP IN DT NNP NNP TO DT NNP NN IN DT NN TO VB DT NN IN NNP . NNP NNP NNP NNP NNP VBZ VBN NN NN NNP , WP PRP VBD IN NNP NNS , IN VBG TO VB PRP$ NNP NN POS NN TO JJ CD NNS ."
15,"NNP NNP NNP NNP VBZ NNP NNP NNP NNP . NNP NNP NNP NNP CD NNP NNP VBD TO DT NNP NNP NNP JJ NNP IN NNP NNP WP -NONE- IN DT NNP NNP MD VB TO VB IN DT JJ NNS , DT NNP NNP IN NNP NNP VBD IN NNP . NNP PRP$ NNP VBZ IN -NONE- IN DT NNP NNP NNP . PRP$ NN TO NNP MD VB NN IN CD CC CD NNS , NNP DT NNP NN VBD . NNP DT NNP VBZ VBG PRP NN NNS IN PRP$ NN TO PRP$ NN . EX VBZ DT NN TO PRP$ NN , NNP PRP VBD . DT CD NNP NNP NNS VBD NNP IN CD NNP NNP WP -NONE- TO NNP NNP NNP JJ NNP IN NNP PRP$ JJ NN IN DT NN IN DT NNP IN NNP NNP IN NNP IN NNP NNP . DT NNP VBD IN NNP PRP MD VB IN DT CD TO DT NNP NN NNP , RB JJ NNP . PRP VBZ IN VBN VBN IN DT NN . WRB VBD IN DT CD NNS MD VB VB TO NNP CC DT NNP NNP NNP , DT NNP NN VBD : NNP IN VBZ RB VBN VBN , CC RB NNP . NNP NNP VBZ DT NN IN DT NN NNP NNP . NNP VBZ JJ IN NNP NNP NNP POS NN , WDT -NONE- VBZ VBG TO NNP . DT NNP NN VBD DT CD NNS , NNP TO VB IN PRP$ NN , VBD RB IN NNP NNP . PRP VBD RB VB . DT NNP , NN IN DT NNP NN IN DT NNP NNP IN NNP , VBD VBN -NONE- IN DT NNP NNP NNP VBD PRP$ NN NN TO NNP IN NNP NNP . NNP VBD PRP$ NNP IN NNP IN NNP VBD NN IN JJ JJ NN IN NNP POS NN . NNP VBD DT NNP POS NNP VBD JJ . JJ JJ NN TO VB DT CD VBD . DT NNP , WP VBD PRP VBP DT NN : CD JJ IN NNP JJ NNS : IN NN VBG NN NN IN PRP$ NNP NNP NN NNP JJ NNP , VBD DT NNP NNP NNP NNP IN NN IN NNP ."
16,"NNP NNP POS NNP NNP NNP POS NNP . NNP NNP NNP NNP NNP NNP VBZ VBN CD NNP NNP NNP NNP IN NNP VBD TO CD NNP NN CC NN NNP IN NNP , NNP NNP NNS VBD IN NNP NNP NNP NNP NNP NNP NNP IN DT NN NNP POS NNP TO CD NN CC NN IN NNP , NNP DT NNS VBD . PRP VBD NNP VBD NNP IN PRP VBD NNP IN NNP IN PRP$ JJ JJ NN CC DT NNP NNP NNP NNP NNP NNP VBP NNP IN DT JJ NN IN DT NNP NNP NNP IN NNP IN PRP$ CD NNP IN NNP . NNP VBD IN NNP PRP MD VB DT JJ NN TO VB NN -NONE- NN NNS IN NNP CC VBN NNP IN JJ NN IN JJ NNS IN NNP . NNP PRP$ NNP VBZ NN , RB PRP VBP VBN IN NNP DT NNP NNP NN TO VB DT JJ NNP IN NNP CC NN NN NNS IN NNP CC NNP , NNP PRP VBD NNS . NNP NNP NNP NNP IN CD . JJ NNP PRP VBD NNP TO VB DT NN VBD IN NNP POS NN , WDT -NONE- NNP POS NN IN CD JJR NNS ."
17,NNP NN NNP DT NNP POS NNP VBZ . NNP VBZ DT VBP DT IN DT VBG NN IN DT NN VBN NN IN NNP . NNP VBZ RB VBN DT NNP CC VBZ RB VB IN PRP$ NNP . NNP DT NNP POS NN NNP NNP NNP IN NN IN DT NNP NNP NNP NNP NNP NNP . CD NNP JJ NN VBZ NNP MD VB NN IN DT NNP NNP NNP WDT MD VB VBN IN NNP . NNP IN DT NN IN CD NNP IN NNP NNP IN NNP NNP NNP IN DT NNP .
18,NNP NN NNP DT NNP : NNP -NONE- . NNP NNP DT VBP DT VBG NN IN DT NNP NN IN NNP . NNP VBZ RB VBN DT NNP CC VBZ RB VB IN PRP$ NNP . NNP DT NN VBZ VBN IN NNP CC DT NN . : JJ NNP NNP : NNP NNS VBP DT CD NN . NNP NNP NNP NNP NNP : NNP VBZ NNP IN NNP IN NNP CC NNP . : NNP NNP IN NNP NNP DT CD JJ NNP VBP VBN VBN . NNP NNP CD NNP IN NN NN NNP : WDT NNP IN DT NNP NNP NNS JJ NNP . NNP DT JJ NNS IN NNP CC NNP . DT NNP TO NN IN DT NN NN IN DT NNP NN . NNP NNP NNP NNP NNP NNP VBD NNP IN DT NNS IN NNP POS NNS .
19,"NNP NNP -NONE- CC NNP NNP NNP NN VBN . NNP NNP JJ NNP IN NNP NNS CC NNP NNP NNS NNP IN NNP NNP JJR TO NNP JJR , NN NNS VBD . DT VBD JJ NN TO NN NNS CC NNP NNS NNP NNP NNP NN . NN IN DT NNP NNP NN VBZ RB VBN TO NNP NN CC NNP DT CD NNP , NNS VBD . RB , NN MD VB VB JJ CC NNS MD VB IN NN IN RB IN DT NN . NN NNS VBP RB VBN TO VB -NONE- IN DT NN NN IN NNP NNS VBD DT NN , PRP VBD ."
20,"NNP NNP VBZ NN NN TO VB NNP NNP . NNP , NNP . NNP NNP NNP NNP NNP VBD IN NNP IN DT NN NN MD VB DT JJ NN IN $ CD CD IN PRP$ JJ CD JJ NN . DT NN VBD IN IN DT NN , WDT -NONE- VBZ CD , PRP VBD $ CD CD CD NN IN PRP$ JJ NNP CD JJ NNS JJ NNP . DT NNS VBD VBN IN $ CD CD . NNP NNP , NN JJ NN IN DT NNP CC VBP NN NN , VBD DT NNP NNP VBD DT NN TO VB DT NN POS JJ JJ NN NNS CC VB JJ NN NNS CC NNS . NNP"
21,"NNP NNP NNP DT NNP NNP NNP . : NNP NN NNP NNP VBD NNP NNP NNP NNP NNP IN DT NNP NN , PRP$ NN VBD . : DT NN VBD DT JJ NN NN IN $ CD CC DT JJ JJ NN NNS NN IN $ CD IN NN , PRP$ NN VBD . : DT NN RB VBD DT NNS NN IN DT CD NN , CC DT NN VBD RB RB JJ . : NNP NNP NNP VBD IN NNP NNP . : NNP NNP , NNP NNP NNP , NNP"
22,"NNP NNP NNP NNP NNP JJ NNP . NNP NNP NNP IN NNP NNP NNP NNP IN NNS , RB IN NN NNS NNP CD NNS VBD NN VBN NNP CD , NNP CD , NNP CD , NNP CD , NNP NNP NNP CD NN NN NNS : JJ NN $ VBZ $ NNP $ NNP $ CD NN NN NNP NNP NNP NNP NNPS NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP JJ NN NNP CD CD CD NNS IN NN NNP NNP NNP NNP NNP CD , NNP NNP CD , NNP VBD NN NNS : NNP NN $ NNP NNP $ NNP NNP NN CC NN NNS NNP NNP NNP NNPS NNP NNP NNP POS NNP NNP NNP NNP NNP"
23,"NNP NNP NNP VBP VBN JJ NN IN NNP . NNP NNP DT NNP NNP NNP POS JJ NNP NNP NNP NNP NNP NNP PRP$ NNP IN PRP VBZ TO VB NN NNS , PRP$ NNP NNP NNP NNP VBD NNS IN NNP . NNP NNP NNP NNP MD VB DT NN NN IN DT NN NN VB IN NNP , VBD NNP . : NNP NNP , NNP NNP NNP NNP"
24,"NNP NN NNP DT NN NN VBZ NNP VBZ -NONE- . JJ NNP DT VBP VBG NN IN NNP POS NN NNP NNP NNP , NNP NNP NNP . NNP NN : NNP VBG TO CD CC CD NN CC NNP NNS VBP NNP NNP NNP NNP POS NNP VBP NNP IN NNP NNP NNP NNP NNP IN CD NN CC NNP NNP NNP NNP NNP . : NNP NNP NNP NNP NNP NN IN NNP IN JJ NN POS NNS . NNP NNP : NNP IN NNP POS JJ NNS NNS RP NNP NN NN , IN JJ NNS VBP IN NNP NN NN CC NNP TO VB NNP IN NNS . : NNP NNP IN DT NNP NNP NNP IN NNP NNP PDT DT NNP VBP IN NN IN JJ NN IN DT JJ JJ NNS . : NNP NNP NNP CD CD CD NNP NNP"
25,"NNP RB NNP TO VB NNP NN NN POS NNP . NNP NNP CD CD NN NNP VBZ IN DT NNP NNP IN NNP MD VB VBN IN DT JJ NN , NN NNP NNP NNP NNP IN NNP NNP NNP VBD IN NNP . DT NN NNS VBP VBN IN DT NN IN CD NNS IN NNP NNP NNP NNP IN NNP NN TO RB NNP NNP , VBG TO DT NN POS NN NNS NNP . DT NNS MD VB NNP CC NNP MD VB VBN IN DT NNP IN CD IN DT VBN TO VB NNP NNS IN DT NN , PRP VBD . : NNP NNP NNP CD CD CD ."
26,"NNP NNP NNP NNP NNP CD CD NNP CD NNP . NNP NNP NNP POS NN NN VBD TO NNP CD NNP IN NNP IN CD CD IN NNP , DT NNP NNP NNP NNP NNP NNP VBD IN DT NN IN NNP . DT NN IN NNS VBD CD NN NN IN NNP CC DT NN IN NNS VBD CD NN , NNP VBD . NNP NNP NNP CD NNP NNP : NNP POS NNP NNP POS NNP NNP POS NNP NNP POS NNP NNS NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP DT NNP CD NN NN VBD VBD IN NNP CD NNP CC DT NN NN IN NNP CD NNP . DT NN IN NNP JJR VBN DT NNP NNP NN IN NNP CD NNP IN NNS NNP IN CD CD CC NNS IN NNP CD . DT NNP POS NN JJ NN NNS VBP VBG JJ JJ TO NNS IN NNP NNS WRB NNP VBD DT JJ NNP IN DT NN IN CD . : NNP NN NNP VBZ -NONE- DT NNP CD NNS"
27,NNP JJ NN VBZ NNP NN NN TO NNP . NNP VBZ DT NNP NNP VBD DT NN IN NNP NNS IN DT JJ NN POS NNP NNP NN NN JJ NNP NNP TO NNP IN NNP . NNP NNS VBD IN NNP CC VBP VBG VBN NNP IN NNP NNP TO NNP NNP IN CD NN . DT NNP VBD VBN CD CD NNS IN NNS IN DT JJ NN IN DT NN IN NN IN NNP . : NNP NNP NNP NNP NNP NNP
28,"NNP NNP NNP NNP VBZ NNS TO VB NNP NNP . NNP NNP NNP POS NNP NNP VBD IN NNP IN NNS NNPS NNP VBZ IN JJ NNS IN VBD NNPS IN NNP VBN -NONE- MD VB VBN TO DT NNP . NNP IN DT VBZ VBN RP IN DT NNP NNP POS JJ NNP : CC PRP VBP VBN DT TO VB VBN RB RB IN JJ : NNP NNS NNP MD IN IN DT JJ CD NN TO NNP IN JJ NNS , NNP NNP NNP NNP NNP NNP NNP NNP . NNP PRP VBP RB VB TO VB IN EX VBZ DT JJ NN IN NNS , NNP PRP VBD . VBP EX VBP RB JJ NN IN WP PRP VBP , CC DT MD VB VBN RB RB . NNP NNP VBZ VBN NNS TO NNP NN NN VBZ DT NN IN NNP IN NN IN DT NNP VBD CD , WDT -NONE- IN NNP WRB NNP NNP -NONE- MD VB DT JJ NN IN NNP NNP NNP . DT NNP NNP VBD DT NN TO VBZ DT NN TO VB DT NN IN VBG NNS NN IN DT NNP NNP RB RB IN PRP VBD VBN . NNP NNP NNP NNP NNP VBD VBN NNP NNP NNP , NNP CC NNP NNP IN DT NNP CC NNP NNP NNP IN NNS IN NNP CC NNP WDT IN NNP NNS NNS MD VB NNP NNP NNP NNP NNP NNP : NNP NNP NNP . CC DT NNS IN DT NNP POS NNP NNP NNP NN IN DT NN VBD JJ VBD DT NNP NN TO NNP NN . DT NN VBZ VBG VBN RB IN CD NNP JJ NNS . NNS VBP RB VBN JJ TO NN NN , DT JJ NNP NN TO NNP WDT VBZ VBN TO VB VBN VBN TO NNS IN NNP NNP NNP NNP . NNP NNS VBP NNP NNP VBZ NNP NNP TO NNP . NNP VBD NNP VBN NNP NNP IN NNP JJ NN , RB DT IN DT NNS . PRP VBD IN NNP NNP IN NNP NNP , DT CD NN IN JJ NNS . IN DT JJ NN VBD DT JJ NN IN NNP NNP NNP CC PRP$ NNP NNP NNP , DT NNP NNP DT NNP NN IN NNP NNP NNS . NNP NNS VBD IN DT NNP IN NNP TO DT JJ NN IN DT NN IN NNP VBZ VBD NNS TO NNP DT NN ."
29,"NNP NNP DT NNS IN NNP NN IN NNP . NNP , NNP NNP NNS IN DT $ CD CD NNP NNP NNP IN NNP IN DT NNP NN NNP IN DT NNP NNP , NN CD NNP NNP NN NNP NNP NNP NNP NNP NNP : NNP NNP NNP , NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP NNP CD NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP , NNP CD , NNP NNP NNP NNP NNP NNP NNP NNP VBZ NNP NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP"
